module,type,entity_id,file,line
DS,input_boolean,input_boolean.ds_sdhb_advanced_mode,DS_v4_2/yaml_common_obligatorios/ds_common.yaml,9
DS,input_boolean,input_boolean.ds_w1_cover_inverted,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,404
DS,input_boolean,input_boolean.ds_w1_forecast_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,422
DS,input_boolean,input_boolean.ds_w1_golden_enabled,DS_v4_2/yaml_zone_opcionales/ds_testing.yaml,24
DS,input_boolean,input_boolean.ds_w1_golden_notify_enabled,DS_v4_2/yaml_zone_opcionales/ds_testing.yaml,27
DS,input_boolean,input_boolean.ds_w1_health_alert_notify_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_logic.yaml,1480
DS,input_boolean,input_boolean.ds_w1_interlock_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,408
DS,input_boolean,input_boolean.ds_w1_interlock_notify_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,412
DS,input_boolean,input_boolean.ds_w1_privacy_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,416
DS,input_boolean,input_boolean.ds_w1_sdhb_consume_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_sdhb.yaml,17
DS,input_boolean,input_boolean.ds_w1_sdhb_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_sdhb.yaml,9
DS,input_boolean,input_boolean.ds_w1_sdhb_export_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_sdhb.yaml,13
DS,input_boolean,input_boolean.ds_w1_sdhb_quiet_respect_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_sdhb.yaml,21
DS,input_boolean,input_boolean.ds_w1_sim_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,425
DS,input_boolean,input_boolean.ds_w1_sim_enabled,DS_v4_2/yaml_zone_opcionales/ds_testing.yaml,15
DS,input_boolean,input_boolean.ds_w1_sim_rain,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,429
DS,input_boolean,input_boolean.ds_w1_sim_rain,DS_v4_2/yaml_zone_opcionales/ds_testing.yaml,18
DS,input_boolean,input_boolean.ds_w1_sim_sun_effective,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,433
DS,input_boolean,input_boolean.ds_w1_sim_sun_effective,DS_v4_2/yaml_zone_opcionales/ds_testing.yaml,21
DS,input_boolean,input_boolean.ds_w1_sleep_mode,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,398
DS,input_boolean,input_boolean.ds_w1_slew_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,401
DS,input_boolean,input_boolean.ds_w1_tests_enabled,DS_v4_2/yaml_zone_opcionales/ds_testing.yaml,9
DS,input_boolean,input_boolean.ds_w1_tests_notify_enabled,DS_v4_2/yaml_zone_opcionales/ds_testing.yaml,12
DS,input_boolean,input_boolean.ds_w1_weather_protect_enabled,DS_v4_2/yaml_zone_obligatorios/ds_w1_inputs.yaml,419
DS,input_boolean,input_boolean.ds_w2_cover_inverted,DS_v4_2/yaml_zone_obligatorios/ds_w2_inputs.yaml,404
